Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type
4.3060,-117,22.29,6.69,Touchpad DOWN
4.3140,-52,6509.78,1957.62,Touchpad DOWN
4.3198,-54,9265.77,4150.06,Touchpad DOWN
4.3290,-56,6086.89,4731.11,Touchpad DOWN
4.3341,-51,10138.37,6353.29,Touchpad DOWN
4.3414,-53,7256.58,6624.28,Touchpad DOWN
4.3485,-52,7313.03,6830.90,Touchpad DOWN
4.3712,-154,6777.43,6814.86,Touchpad DOWN
4.3756,-22,4997.55,6269.67,Touchpad DOWN
4.4437,-131,1923.99,2643.22,Touchpad DOWN
4.4953,-161,3117.87,2785.61,Touchpad DOWN
4.5477,-98,1870.87,1728.19,Touchpad DOWN
4.5936,-36,784.77,1445.16,Touchpad DOWN
4.6490,-12,216.54,648.94,Touchpad DOWN
4.9944,186,538.54,161.56,Touchpad UP
5.0017,78,10631.60,3302.57,Touchpad UP
5.0170,174,11390.45,5728.94,Touchpad UP
5.0268,94,9545.20,6873.82,Touchpad UP
5.0314,98,21407.31,11233.86,Touchpad UP
5.0372,97,16786.21,12899.57,Touchpad UP
5.0459,59,6810.62,11072.89,Touchpad UP
5.0633,210,12041.89,11363.59,Touchpad UP
5.1573,1072,11407.98,6301.94,Touchpad UP
5.2835,842,6670.31,2145.44,Touchpad UP
5.3319,194,4005.07,2703.33,Touchpad UP
5.4312,145,1460.57,552.34,Touchpad UP
5.5197,17,192.05,95.14,Touchpad UP
5.7652,199,810.83,243.25,Touchpad UP
5.7729,72,9302.59,2961.05,Touchpad UP
5.7794,81,12411.00,5796.03,Touchpad UP
5.7868,91,12290.11,7744.26,Touchpad UP
5.7965,94,9754.20,8347.24,Touchpad UP
5.8007,92,21545.28,12306.65,Touchpad UP
5.8131,182,14706.08,13026.48,Touchpad UP
5.8281,101,6733.61,11138.62,Touchpad UP
5.8603,405,12572.57,11568.81,Touchpad UP
5.9085,549,11391.42,8547.91,Touchpad UP
6.0753,1070,6414.37,1941.03,Touchpad UP
6.1172,146,3490.77,1927.70,Touchpad UP
6.1311,40,2868.10,2209.82,Touchpad UP
6.1551,51,2122.77,2183.71,Touchpad UP
6.1659,18,1665.73,2028.31,Touchpad UP
6.1852,26,1350.69,1825.03,Touchpad UP
6.2428,35,607.49,847.57,Touchpad UP
6.2554,3,238.05,664.71,Touchpad UP
6.2855,3,99.73,495.22,Touchpad UP
6.3832,-120,1228.54,396.78,Mouse DOWN
6.3931,-81,8149.36,2722.56,Touchpad DOWN
6.4011,-82,10296.16,4994.64,Touchpad DOWN
6.4051,-83,20654.24,9692.52,Touchpad DOWN
6.4135,-85,10089.60,9811.64,Touchpad DOWN
6.4197,-86,13863.87,11027.31,Touchpad DOWN
6.4296,-95,9602.34,10599.82,Touchpad DOWN
6.4325,-94,32308.82,17112.52,Touchpad DOWN
6.4408,-95,11440.11,15410.80,Touchpad DOWN
6.4477,-96,14034.13,14997.80,Touchpad DOWN
6.4629,-179,11718.49,14014.01,Touchpad DOWN
6.4785,-154,9879.37,12773.61,Touchpad DOWN
6.4838,-64,12046.65,12555.52,Touchpad DOWN
6.5345,-195,3850.78,6652.50,Touchpad DOWN
6.5843,-313,6282.20,4629.95,Touchpad DOWN
6.5888,-27,6019.57,5046.84,Touchpad DOWN
6.6250,-158,4358.64,4840.38,Touchpad DOWN
6.6326,-30,3980.80,4582.50,Touchpad DOWN
6.7773,-135,932.77,307.05,Touchpad DOWN
6.8189,-6,144.37,258.25,Touchpad DOWN
7.0846,-92,346.16,103.85,Touchpad DOWN
7.0919,-31,4263.48,1351.74,Touchpad DOWN
7.0988,-38,5525.90,2603.99,Touchpad DOWN
7.1078,-47,5211.83,3386.34,Touchpad DOWN
7.1126,-58,12142.23,6013.11,Touchpad DOWN
7.1194,-64,9336.89,7010.24,Touchpad DOWN
7.1281,-69,7970.23,7298.24,Touchpad DOWN
7.1431,-147,9777.86,8042.12,Touchpad DOWN
7.1550,-78,6593.75,7607.61,Touchpad DOWN
7.1561,-80,68942.74,26008.15,Touchpad DOWN
7.1671,-77,6981.89,20300.27,Touchpad DOWN
7.1698,-74,27353.35,22416.20,Touchpad DOWN
7.1825,-69,5454.44,17327.67,Touchpad DOWN
7.1845,-62,30961.64,21417.86,Touchpad DOWN
7.2103,-17,657.75,15189.83,Touchpad DOWN
7.2248,-8,552.43,10798.61,Touchpad DOWN
7.2884,-151,2375.24,4539.25,Touchpad DOWN
7.3255,-52,1402.98,3598.37,Touchpad DOWN
7.3599,-25,725.46,2736.49,Touchpad DOWN
7.4363,-7,91.61,506.49,Touchpad DOWN
7.7521,-144,455.98,136.79,Touchpad DOWN
7.7592,-83,11778.17,3629.21,Touchpad DOWN
7.7658,-87,13139.77,6482.37,Touchpad DOWN
7.7739,-88,10872.15,7799.31,Touchpad DOWN
7.7825,-93,10854.58,8715.89,Touchpad DOWN
7.7885,-101,16625.12,11088.66,Touchpad DOWN
7.7956,-102,14480.74,12106.28,Touchpad DOWN
7.8130,-200,11463.45,11913.43,Touchpad DOWN
7.8164,-92,27041.06,16451.72,Touchpad DOWN
7.8367,-157,7760.82,13844.45,Touchpad DOWN
7.8381,-65,43887.60,22857.40,Touchpad DOWN
7.8659,-28,1007.90,16302.55,Touchpad DOWN
7.9169,-281,5516.47,7887.36,Touchpad DOWN
7.9572,-175,4336.88,4894.77,Touchpad DOWN
8.0477,-170,1879.80,1257.04,Touchpad DOWN
8.0824,-30,864.27,1139.21,Touchpad DOWN
8.0863,-3,769.88,1028.41,Touchpad DOWN
8.1378,-11,213.49,472.81,Touchpad DOWN
8.6822,-135,247.98,74.39,Touchpad DOWN
8.6894,-97,13418.45,4077.61,Touchpad DOWN
8.6967,-103,14131.01,7093.63,Touchpad DOWN
8.7036,-111,16131.94,9805.12,Touchpad DOWN
8.7109,-121,16548.55,11828.15,Touchpad DOWN
8.7177,-135,19737.56,14200.97,Touchpad DOWN
8.7255,-129,16544.31,14903.97,Touchpad DOWN
