Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type
-0.0034,-5,47.28,16.51,Touchpad DOWN
0.8983,-311,344.91,103.47,Touchpad DOWN
0.9064,-119,14702.12,4483.07,Touchpad DOWN
0.9131,-125,18716.55,8753.11,Touchpad DOWN
0.9195,-132,20371.94,12238.76,Touchpad DOWN
0.9283,-134,15341.11,13169.46,Touchpad DOWN
0.9342,-137,23001.35,16119.03,Touchpad DOWN
0.9692,-332,9483.30,14128.31,Touchpad DOWN
0.9705,-46,38137.57,21331.09,Touchpad DOWN
1.0103,-576,14442.71,19264.58,Touchpad DOWN
1.0525,-644,15278.41,18068.73,Touchpad DOWN
1.0965,-619,14074.85,16870.56,Touchpad DOWN
1.1773,-992,12268.60,6470.10,Touchpad DOWN
1.2230,-477,10433.16,7659.01,Touchpad DOWN
1.3135,-660,7298.06,4652.10,Touchpad DOWN
1.3175,-31,7630.03,5545.48,Touchpad DOWN
1.3425,-211,8441.90,6414.41,Touchpad DOWN
1.4028,-1036,17181.95,8029.45,Touchpad DOWN
1.4044,-90,55915.77,22395.35,Touchpad DOWN
1.4089,-43,9673.11,18578.68,Touchpad DOWN
1.4663,-1212,21121.04,14485.13,Touchpad DOWN
1.5161,-966,19385.74,11986.27,Touchpad DOWN
1.5270,-203,18597.38,13969.60,Touchpad DOWN
1.5789,-895,17264.64,11711.38,Touchpad DOWN
1.6369,-941,16200.54,9283.21,Touchpad DOWN
1.7303,-1277,13673.81,4621.56,Touchpad DOWN
1.7736,-507,11716.58,6750.06,Touchpad DOWN
1.8370,-654,10320.42,6035.37,Touchpad DOWN
1.8583,-148,6925.23,6302.33,Touchpad DOWN
1.8636,-84,16117.18,9246.78,Touchpad DOWN
1.9051,-94,2262.51,4506.61,Touchpad DOWN
1.9060,-332,377475.99,116397.43,Touchpad DOWN
1.9072,-50,40407.55,93600.47,Touchpad DOWN
1.9626,-750,13542.42,69583.05,Touchpad DOWN
1.9948,-397,12345.43,52411.76,Touchpad DOWN
2.0832,-955,10796.60,8576.07,Touchpad DOWN
2.1560,160,2199.22,3369.62,Touchpad UP
2.1641,119,14671.87,6760.29,Touchpad UP
2.1691,129,25604.07,12413.43,Touchpad UP
2.1911,396,17987.85,14085.75,Touchpad UP
2.2005,-383,40804.15,22101.27,Touchpad DOWN
2.2260,366,14353.58,19776.96,Touchpad UP
2.2263,-174,599186.29,193599.76,Touchpad DOWN
2.2554,490,16851.09,140575.16,Touchpad UP
2.2560,-215,348310.30,202895.70,Touchpad DOWN
2.3469,1408,15485.13,27586.18,Touchpad UP
2.3479,-447,472136.46,160951.26,Touchpad DOWN
2.3765,398,13909.83,116838.83,Touchpad UP
2.3768,-110,317531.62,177046.67,Touchpad DOWN
2.4430,835,12626.11,63310.74,Touchpad UP
2.4432,-149,603234.84,225287.97,Touchpad DOWN
2.4631,227,11386.80,161117.62,Touchpad UP
2.4643,-36,31476.95,122225.42,Touchpad DOWN
2.4824,205,11327.59,88956.07,Touchpad UP
2.4828,-25,67302.70,82460.06,Touchpad DOWN
2.5121,306,10428.93,60850.72,Touchpad UP
2.5128,-30,40576.95,54768.59,Touchpad DOWN
2.5456,-148,4519.03,39693.72,Touchpad DOWN
2.5679,-391,17552.77,33051.44,Touchpad DOWN
2.5715,-150,41317.76,35531.33,Touchpad DOWN
2.6038,-454,14050.85,29087.19,Touchpad DOWN
3.0096,-217,534.71,160.41,Touchpad DOWN
3.0162,-119,18192.90,5570.16,Touchpad DOWN
3.0233,-129,18213.39,9363.13,Touchpad DOWN
3.0315,-142,17126.50,11692.14,Touchpad DOWN
3.0382,-147,22016.95,14789.58,Touchpad DOWN
3.0486,-155,14892.84,14820.56,Touchpad DOWN
3.0587,-164,16266.22,15254.26,Touchpad DOWN
