Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type,App_Offset,App_Target,App_Velocity
0.0354,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0374,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.0384,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0404,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0451,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0491,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0501,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0531,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.0557,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0593,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0607,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0629,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0660,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0680,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0700,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.0720,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0751,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0764,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0794,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0820,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0846,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.0866,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0892,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0912,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0942,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0952,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0978,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0998,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.1044,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1060,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1086,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1106,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1126,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1146,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1167,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.1197,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1213,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1238,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1255,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1275,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1295,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1310,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.1330,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1352,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1370,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1390,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1415,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1445,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1465,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.1487,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1512,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1533,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1543,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1568,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1599,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1619,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1629,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.1644,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1670,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1700,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1720,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1740,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1762,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1787,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.1807,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1826,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1851,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1871,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1891,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1911,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1921,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1941,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.1965,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.1985,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2016,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2035,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2060,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2081,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2091,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.2122,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2140,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.2163,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
