Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type,App_Offset,App_Target,App_Velocity
1.2784,-136,60.29,18.09,Touchpad DOWN,0.00,0.00,0.00
1.2851,-44,6551.74,1978.18,Touchpad DOWN,0.00,0.00,0.00
1.2930,-44,5584.79,3060.16,Touchpad DOWN,0.00,0.00,0.00
1.2992,-46,7421.26,4368.49,Touchpad DOWN,0.00,0.00,0.00
1.3063,-46,6457.74,4995.27,Touchpad DOWN,0.00,0.00,0.00
1.3154,-44,4822.80,4943.53,Touchpad DOWN,0.00,0.00,0.00
1.3197,-51,11930.92,7039.75,Touchpad DOWN,0.00,0.00,0.00
1.3335,-54,3912.60,6101.60,Touchpad DOWN,0.00,0.00,0.00
1.3350,-52,34570.27,14642.20,Touchpad DOWN,0.00,0.00,0.00
1.3413,-51,8155.46,12696.18,Touchpad DOWN,0.00,0.00,0.00
1.3479,-49,7397.89,11106.69,Touchpad DOWN,0.00,0.00,0.00
1.3549,-44,6261.85,9653.24,Touchpad DOWN,0.00,0.00,0.00
1.4753,-406,3372.77,1331.89,Touchpad DOWN,0.00,0.00,0.00
1.5163,-73,1781.87,1466.89,Touchpad DOWN,0.00,0.00,0.00
1.5582,-37,882.72,926.84,Touchpad DOWN,0.00,0.00,0.00
1.6823,57,459.40,174.92,Touchpad UP,0.00,0.00,0.00
1.6904,13,1596.80,601.49,Touchpad UP,0.00,0.00,0.00
1.6950,13,2859.25,1278.82,Touchpad UP,0.00,0.00,0.00
1.7034,14,1665.68,1394.88,Touchpad UP,0.00,0.00,0.00
1.7185,22,1453.95,1412.60,Touchpad UP,0.00,0.00,0.00
1.7240,8,1449.37,1423.63,Touchpad UP,0.00,0.00,0.00
1.7403,18,1104.02,1327.75,Touchpad UP,0.00,0.00,0.00
1.7455,9,1720.07,1445.45,Touchpad UP,0.00,0.00,0.00
1.7520,10,1541.00,1474.11,Touchpad UP,0.00,0.00,0.00
1.7684,25,1528.07,1490.30,Touchpad UP,0.00,0.00,0.00
1.7729,18,3984.46,2238.55,Touchpad UP,0.00,0.00,0.00
1.7803,23,3095.63,2495.67,Touchpad UP,0.00,0.00,0.00
1.8016,159,7491.68,3994.47,Touchpad UP,0.00,0.00,0.00
1.8181,169,10220.57,5862.30,Touchpad UP,0.00,0.00,0.00
1.8217,94,26296.58,11992.58,Touchpad UP,0.00,0.00,0.00
1.8618,376,9369.52,11205.66,Touchpad UP,0.00,0.00,0.00
1.8633,-372,247271.17,82025.32,Touchpad DOWN,0.00,0.00,0.00
1.8800,58,3475.48,58460.37,Touchpad UP,0.00,0.00,0.00
1.9820,1033,10125.65,9499.07,Touchpad UP,0.00,0.00,0.00
2.0229,291,7111.56,8782.82,Touchpad UP,0.00,0.00,0.00
2.0645,219,5267.32,5464.79,Touchpad UP,0.00,0.00,0.00
2.1825,235,1991.88,812.78,Touchpad UP,0.00,0.00,0.00
2.2130,27,885.85,834.70,Touchpad UP,0.00,0.00,0.00
2.2272,7,491.15,731.63,Touchpad UP,0.00,0.00,0.00
2.2390,5,423.54,639.21,Touchpad UP,0.00,0.00,0.00
2.2585,4,205.53,509.10,Touchpad UP,0.00,0.00,0.00
2.2728,2,139.77,398.30,Touchpad UP,0.00,0.00,0.00
2.4098,-5,36.49,18.04,Touchpad DOWN,0.00,0.00,0.00
2.4172,-11,1490.42,459.75,Touchpad DOWN,0.00,0.00,0.00
2.4239,-11,1641.78,814.36,Touchpad DOWN,0.00,0.00,0.00
2.4304,-11,1687.91,1076.43,Touchpad DOWN,0.00,0.00,0.00
2.4380,-9,1190.44,1110.63,Touchpad DOWN,0.00,0.00,0.00
2.4443,-8,1276.61,1160.42,Touchpad DOWN,0.00,0.00,0.00
2.4548,-9,852.52,1068.05,Touchpad DOWN,0.00,0.00,0.00
2.4590,-9,2147.50,1391.89,Touchpad DOWN,0.00,0.00,0.00
2.4661,-9,1276.03,1357.13,Touchpad DOWN,0.00,0.00,0.00
2.4727,-12,1808.41,1492.51,Touchpad DOWN,0.00,0.00,0.00
2.4794,-14,2077.71,1668.07,Touchpad DOWN,0.00,0.00,0.00
2.4860,-18,2759.41,1995.47,Touchpad DOWN,0.00,0.00,0.00
2.4936,-20,2601.36,2177.24,Touchpad DOWN,0.00,0.00,0.00
2.5001,-21,3253.20,2500.03,Touchpad DOWN,0.00,0.00,0.00
2.5073,-22,3055.35,2666.63,Touchpad DOWN,0.00,0.00,0.00
2.5292,-66,3009.15,2769.38,Touchpad DOWN,0.00,0.00,0.00
2.5343,-24,4750.29,3363.65,Touchpad DOWN,0.00,0.00,0.00
2.5434,-22,2426.17,3082.41,Touchpad DOWN,0.00,0.00,0.00
2.5494,-26,4329.86,3456.65,Touchpad DOWN,0.00,0.00,0.00
2.6622,-133,1178.45,611.14,Touchpad DOWN,0.00,0.00,0.00
2.7034,-11,267.01,360.13,Touchpad DOWN,0.00,0.00,0.00
3.0285,-45,138.44,41.53,Touchpad DOWN,0.00,0.00,0.00
3.0376,-12,1309.02,421.78,Touchpad DOWN,0.00,0.00,0.00
3.0407,-16,5213.15,1859.19,Touchpad DOWN,0.00,0.00,0.00
3.0488,-22,2704.26,2112.71,Touchpad DOWN,0.00,0.00,0.00
3.0564,-27,3592.27,2556.58,Touchpad DOWN,0.00,0.00,0.00
3.0620,-29,5176.83,3342.65,Touchpad DOWN,0.00,0.00,0.00
3.0693,-32,4360.83,3648.11,Touchpad DOWN,0.00,0.00,0.00
3.0764,-33,4667.41,3953.90,Touchpad DOWN,0.00,0.00,0.00
3.0852,-33,3738.64,3889.32,Touchpad DOWN,0.00,0.00,0.00
